Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
29,Will Barton,SG,28,DEN,2,2,27,6,10.5,0.571,2.5,4.5,0.556,3.5,6,0.583,0.69,2,2,1,0,5,5,3,0.5,1,1.5,2.5,16.5
30,Keita Bates-Diop,SF,23,MIN,2,0,9,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,,0,1.5,1.5,0,0,0.5,0,0.5,2
31,Nicolas Batum,SF,30,CHO,29,29,30.2,3.5,7.7,0.451,1.3,3.5,0.382,2.1,4.2,0.508,0.538,0.8,1,0.857,1.1,4.2,5.2,3.5,0.9,0.4,1.7,1.7,9.1
32,Aron Baynes,C,32,BOS,24,8,14.8,1.9,4.3,0.441,0.5,1.5,0.324,1.4,2.7,0.508,0.5,1.3,1.5,0.861,1.6,2.8,4.4,1.3,0.2,0.5,0.8,2.3,5.5
33,Kent Bazemore,SG,29,ATL,29,24,26.9,4.7,10.7,0.443,1.4,4.5,0.313,3.3,6.1,0.539,0.51,2.3,3,0.779,0.5,3.4,3.9,2.6,1.8,0.9,2.2,2.5,13.2
34,Bradley Beal,SG,25,WAS,30,30,36,8.6,18.2,0.47,2.3,6.8,0.345,6.2,11.5,0.544,0.534,3.7,4.8,0.778,0.8,3.8,4.6,4.4,1,0.9,2.5,3.1,23.2
35,Malik Beasley,SG,22,DEN,29,0,19.1,3.1,6.8,0.454,1.4,3.6,0.388,1.7,3.2,0.527,0.556,0.3,0.4,0.833,0.3,2.1,2.4,0.9,0.4,0.1,0.6,1.3,7.9
36,Michael Beasley,PF,30,LAL,10,0,7.1,1.9,3.7,0.514,0.1,0.4,0.25,1.8,3.3,0.545,0.527,0.5,0.6,0.833,0.3,1.1,1.4,0.3,0.2,0,0.7,1.5,4.4
37,Marco Belinelli,SG,32,SAS,29,0,22.1,3.4,8.9,0.384,1.6,4.7,0.348,1.8,4.2,0.423,0.475,1.3,1.6,0.867,0.2,1.8,2,1.9,0.6,0.2,0.7,1.5,9.8
38,Jordan Bell,C,24,GSW,29,1,12.6,1.1,2.1,0.541,0,0,0,1.1,2.1,0.55,0.541,0.4,0.7,0.684,0.8,2,2.8,1.3,0.4,0.9,0.6,1.6,2.7
